customerID,ChurnProbability,RiskSegment,tenure,Contract,MonthlyCharges,TechSupport,OnlineSecurity,PaymentMethod,RetentionAction
1374-DMZUI,0.853982491971266,Very High,4,Month-to-month,94.3,No,No,Electronic check,Priority outreach + long-term contract incentive
8098-LLAZX,0.853982491971266,Very High,4,Month-to-month,95.45,No,No,Electronic check,Priority outreach + long-term contract incentive
5150-ITWWB,0.853982491971266,Very High,3,Month-to-month,94.85,No,No,Electronic check,Priority outreach + long-term contract incentive
3158-MOERK,0.8523759968465305,Very High,2,Month-to-month,96.0,No,No,Electronic check,Priority outreach + long-term contract incentive
5299-SJCZT,0.8502698286252264,Very High,3,Month-to-month,101.55,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
7851-WZEKY,0.8498135280532481,Very High,2,Month-to-month,95.15,No,No,Electronic check,Priority outreach + long-term contract incentive
9057-SIHCH,0.8493935754777203,Very High,3,Month-to-month,96.6,No,No,Electronic check,Priority outreach + long-term contract incentive
9305-CDSKC,0.8482620748439742,Very High,8,Month-to-month,99.65,No,No,Electronic check,Priority outreach + long-term contract incentive
1455-UGQVH,0.8482620748439742,Very High,10,Month-to-month,98.5,No,No,Electronic check,Priority outreach + long-term contract incentive
2968-SSGAA,0.8482620748439742,Very High,10,Month-to-month,100.6,No,No,Electronic check,Priority outreach + long-term contract incentive
9124-LHCJQ,0.8480797794508823,Very High,1,Month-to-month,85.45,No,No,Mailed check,Priority outreach + long-term contract incentive
3722-WPXTK,0.8480121525460146,Very High,1,Month-to-month,88.35,No,No,Electronic check,Priority outreach + long-term contract incentive
7577-SWIFR,0.8480121525460146,Very High,1,Month-to-month,89.25,No,No,Electronic check,Priority outreach + long-term contract incentive
1455-ESIQH,0.8480121525460146,Very High,1,Month-to-month,89.1,No,No,Electronic check,Priority outreach + long-term contract incentive
0495-RVCBF,0.8478109839038572,Very High,1,Month-to-month,79.7,No,No,Electronic check,Priority outreach + long-term contract incentive
2868-MZAGQ,0.8478109839038572,Very High,1,Month-to-month,79.25,No,No,Electronic check,Priority outreach + long-term contract incentive
4273-MBHYA,0.8475573817193259,Very High,1,Month-to-month,89.35,No,No,Electronic check,Priority outreach + long-term contract incentive
7594-RQHXR,0.847355719498295,Very High,1,Month-to-month,79.6,No,No,Electronic check,Priority outreach + long-term contract incentive
4587-VVTOX,0.8473209516049829,Very High,6,Month-to-month,105.3,No,No,Electronic check,Priority outreach + long-term contract incentive
1875-QIVME,0.8473060788788175,Very High,2,Month-to-month,104.4,Yes,No,Electronic check,Priority outreach + long-term contract incentive
3049-SOLAY,0.8467886428846224,Very High,3,Month-to-month,95.2,No,No,Electronic check,Priority outreach + long-term contract incentive
7903-CMPEY,0.8463252330123848,Very High,1,Month-to-month,80.3,No,Yes,Electronic check,Priority outreach + long-term contract incentive
4844-JJWUY,0.8456063415017011,Very High,1,Month-to-month,86.0,No,No,Electronic check,Priority outreach + long-term contract incentive
2446-BEGGB,0.8451154574289576,Very High,6,Month-to-month,98.25,No,No,Electronic check,Priority outreach + long-term contract incentive
6496-SLWHQ,0.8451154574289576,Very High,3,Month-to-month,105.0,No,No,Electronic check,Priority outreach + long-term contract incentive
1400-MMYXY,0.8451154574289576,Very High,3,Month-to-month,105.9,No,No,Electronic check,Priority outreach + long-term contract incentive
5167-ZFFMM,0.8448010142204,Very High,1,Month-to-month,90.85,No,No,Credit card (automatic),Priority outreach + long-term contract incentive
9300-RENDD,0.843421789743219,Very High,1,Month-to-month,79.95,No,No,Electronic check,Priority outreach + long-term contract incentive
1761-AEZZR,0.843421789743219,Very High,1,Month-to-month,79.55,No,No,Electronic check,Priority outreach + long-term contract incentive
2514-GINMM,0.843421789743219,Very High,1,Month-to-month,79.5,No,No,Electronic check,Priority outreach + long-term contract incentive
8058-INTPH,0.843421789743219,Very High,1,Month-to-month,79.65,No,No,Electronic check,Priority outreach + long-term contract incentive
5960-WPXQM,0.843421789743219,Very High,1,Month-to-month,79.05,No,No,Electronic check,Priority outreach + long-term contract incentive
5494-HECPR,0.843421789743219,Very High,1,Month-to-month,80.25,No,No,Electronic check,Priority outreach + long-term contract incentive
8740-CRYFY,0.843421789743219,Very High,1,Month-to-month,78.95,No,No,Electronic check,Priority outreach + long-term contract incentive
5919-TMRGD,0.8429558274605502,Very High,1,Month-to-month,79.35,No,No,Electronic check,Priority outreach + long-term contract incentive
8816-VXNZD,0.8407478603098908,Very High,1,Month-to-month,75.1,No,No,Electronic check,Priority outreach + long-term contract incentive
6358-LYNGM,0.8407478603098908,Very High,1,Month-to-month,74.9,No,No,Electronic check,Priority outreach + long-term contract incentive
1452-VOQCH,0.8407478603098908,Very High,1,Month-to-month,75.1,No,No,Electronic check,Priority outreach + long-term contract incentive
9787-XVQIU,0.8407478603098908,Very High,1,Month-to-month,75.3,No,No,Electronic check,Priority outreach + long-term contract incentive
4415-IJZTP,0.8407478603098908,Very High,1,Month-to-month,74.5,No,No,Electronic check,Priority outreach + long-term contract incentive
1157-BQCUW,0.8407478603098908,Very High,1,Month-to-month,74.95,No,No,Electronic check,Priority outreach + long-term contract incentive
4614-NUVZD,0.8399217117228047,Very High,1,Month-to-month,81.1,No,No,Electronic check,Priority outreach + long-term contract incentive
2004-OCQXK,0.8399217117228047,Very High,1,Month-to-month,81.95,No,No,Electronic check,Priority outreach + long-term contract incentive
6457-USBER,0.8399217117228047,Very High,1,Month-to-month,80.8,No,No,Electronic check,Priority outreach + long-term contract incentive
2018-QKYGT,0.8394473162903698,Very High,1,Month-to-month,81.05,No,No,Electronic check,Priority outreach + long-term contract incentive
2656-TABEH,0.839199231213386,Very High,4,Month-to-month,100.2,No,No,Electronic check,Priority outreach + long-term contract incentive
2202-CUYXZ,0.8385890021589861,Very High,1,Month-to-month,84.85,No,No,Electronic check,Priority outreach + long-term contract incentive
5597-GLBUC,0.8385890021589861,Very High,1,Month-to-month,85.45,No,No,Electronic check,Priority outreach + long-term contract incentive
5834-ASPWA,0.8381332548717882,Very High,1,Month-to-month,75.45,No,No,Electronic check,Priority outreach + long-term contract incentive
2982-IHMFT,0.8367483195807006,Very High,1,Month-to-month,74.45,No,No,Mailed check,Priority outreach + long-term contract incentive
7503-ZGUZJ,0.8360592867939388,Very High,1,Month-to-month,84.65,No,No,Mailed check,Priority outreach + long-term contract incentive
6618-RYATB,0.835845360022218,Very High,1,Month-to-month,79.55,No,No,Mailed check,Priority outreach + long-term contract incentive
0318-QUUOB,0.8353491755829293,Very High,1,Month-to-month,80.55,No,No,Electronic check,Priority outreach + long-term contract incentive
7439-DKZTW,0.8353491755829293,Very High,1,Month-to-month,80.55,No,No,Electronic check,Priority outreach + long-term contract incentive
8161-QYMTT,0.8352746055797826,Very High,7,Month-to-month,94.1,No,No,Electronic check,Priority outreach + long-term contract incentive
4626-GYCZP,0.8352746055797826,Very High,7,Month-to-month,93.85,No,No,Electronic check,Priority outreach + long-term contract incentive
7180-PISOG,0.8320593762732246,Very High,1,Month-to-month,74.5,No,No,Electronic check,Priority outreach + long-term contract incentive
8372-JUXUI,0.8320593762732246,Very High,1,Month-to-month,74.35,No,No,Electronic check,Priority outreach + long-term contract incentive
6356-ELRKD,0.8314407927986878,Very High,1,Month-to-month,95.6,No,Yes,Electronic check,Priority outreach + long-term contract incentive
0684-AOSIH,0.8314407927986878,Very High,1,Month-to-month,95.0,No,Yes,Electronic check,Priority outreach + long-term contract incentive
6857-VWJDT,0.8308620723554145,Very High,1,Month-to-month,95.65,No,No,Mailed check,Priority outreach + long-term contract incentive
8775-ERLNB,0.8302934235868161,Very High,1,Month-to-month,74.3,No,No,Electronic check,Priority outreach + long-term contract incentive
2609-IAICY,0.830289295990755,Very High,1,Month-to-month,77.15,No,No,Electronic check,Priority outreach + long-term contract incentive
1846-XWOQN,0.8297633820584471,Very High,1,Month-to-month,70.15,No,No,Electronic check,Priority outreach + long-term contract incentive
9605-WGJVW,0.8297633820584471,Very High,1,Month-to-month,70.2,No,No,Electronic check,Priority outreach + long-term contract incentive
9603-OAIHC,0.8297633820584471,Very High,1,Month-to-month,70.05,No,No,Electronic check,Priority outreach + long-term contract incentive
3878-AVSOQ,0.8297633820584471,Very High,1,Month-to-month,71.25,No,No,Electronic check,Priority outreach + long-term contract incentive
1363-TXLSL,0.8297633820584471,Very High,1,Month-to-month,70.3,No,No,Electronic check,Priority outreach + long-term contract incentive
9488-HGMJH,0.8297633820584471,Very High,1,Month-to-month,71.15,No,No,Electronic check,Priority outreach + long-term contract incentive
8051-HJRLT,0.8297633820584471,Very High,1,Month-to-month,70.55,No,No,Electronic check,Priority outreach + long-term contract incentive
8644-XLFBW,0.8297633820584471,Very High,1,Month-to-month,71.65,No,No,Electronic check,Priority outreach + long-term contract incentive
2660-EMUBI,0.829345416501793,Very High,10,Month-to-month,95.35,No,No,Electronic check,Priority outreach + long-term contract incentive
7409-KIUTL,0.82926500167302,Very High,1,Month-to-month,71.0,No,No,Electronic check,Priority outreach + long-term contract incentive
5186-SAMNZ,0.8289528971984647,Very High,1,Month-to-month,69.5,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
3811-VBYBZ,0.827231207923283,Very High,7,Month-to-month,99.8,No,No,Electronic check,Priority outreach + long-term contract incentive
9223-UCPVT,0.8247848558890035,Very High,1,Month-to-month,94.4,No,No,Electronic check,Priority outreach + long-term contract incentive
5052-PNLOS,0.8246768234183808,Very High,3,Month-to-month,105.35,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
1628-BIZYP,0.8244961923362265,Very High,1,Month-to-month,85.0,No,No,Electronic check,Priority outreach + long-term contract incentive
3871-IKPYH,0.8236473407828074,Very High,1,Month-to-month,69.1,No,No,Electronic check,Priority outreach + long-term contract incentive
7120-RFMVS,0.8212479596029476,Very High,1,Month-to-month,84.5,No,No,Electronic check,Priority outreach + long-term contract incentive
0702-PGIBZ,0.821235119632372,Very High,4,Month-to-month,101.7,No,No,Electronic check,Priority outreach + long-term contract incentive
6108-OQZDQ,0.821235119632372,Very High,4,Month-to-month,97.95,No,No,Electronic check,Priority outreach + long-term contract incentive
3387-VATUS,0.8208201230681713,Very High,5,Month-to-month,94.85,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
5380-AFSSK,0.8208201230681713,Very High,5,Month-to-month,93.9,No,No,Mailed check,Priority outreach + long-term contract incentive
9885-CSMWE,0.820441835112828,Very High,1,Month-to-month,78.45,No,No,Electronic check,Priority outreach + long-term contract incentive
0137-OCGAB,0.819903636356599,Very High,1,Month-to-month,80.2,No,No,Mailed check,Priority outreach + long-term contract incentive
2254-DLXRI,0.819903636356599,Very High,1,Month-to-month,79.15,No,No,Mailed check,Priority outreach + long-term contract incentive
3389-YGYAI,0.8192988485859561,Very High,8,Month-to-month,105.5,No,No,Electronic check,Priority outreach + long-term contract incentive
0564-JJHGS,0.8185017680798525,Very High,9,Month-to-month,95.5,No,No,Electronic check,Priority outreach + long-term contract incentive
7943-RQCHR,0.8185017680798525,Very High,9,Month-to-month,94.75,No,No,Electronic check,Priority outreach + long-term contract incentive
2012-NWRPA,0.8163610430171059,Very High,11,Month-to-month,99.55,No,No,Electronic check,Priority outreach + long-term contract incentive
5275-SQEIZ,0.8157227172446437,Very High,1,Month-to-month,80.85,No,No,Mailed check,Priority outreach + long-term contract incentive
9546-CQJSU,0.8153652357838811,Very High,2,Month-to-month,91.4,No,No,Electronic check,Priority outreach + long-term contract incentive
4927-WWOOZ,0.8153652357838811,Very High,2,Month-to-month,91.45,No,No,Electronic check,Priority outreach + long-term contract incentive
3006-XIMLN,0.8148609876427785,Very High,2,Month-to-month,94.2,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
6772-KSATR,0.812462776550244,Very High,1,Month-to-month,81.7,No,Yes,Electronic check,Priority outreach + long-term contract incentive
2462-XIIJB,0.8118001853766966,Very High,5,Month-to-month,92.5,No,No,Electronic check,Priority outreach + long-term contract incentive
9507-EXLTT,0.8110882856197447,Very High,1,Month-to-month,79.35,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
8821-XNHVZ,0.8105477154237177,Very High,1,Month-to-month,80.05,No,No,Mailed check,Priority outreach + long-term contract incentive
0742-NXBGR,0.8103122212785154,Very High,1,Month-to-month,82.3,No,No,Electronic check,Priority outreach + long-term contract incentive
0655-RBDUG,0.8102956780251226,Very High,7,Month-to-month,98.05,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
1977-STDKI,0.8099481499875487,Very High,1,Month-to-month,73.0,No,No,Electronic check,Priority outreach + long-term contract incentive
7294-TMAOP,0.8099335476585182,Very High,1,Month-to-month,90.55,No,No,Electronic check,Priority outreach + long-term contract incentive
5797-APWZC,0.8099335476585182,Very High,1,Month-to-month,90.6,No,No,Electronic check,Priority outreach + long-term contract incentive
7234-FECYN,0.809817411867522,Very High,8,Month-to-month,101.35,No,No,Electronic check,Priority outreach + long-term contract incentive
4078-SAYYN,0.8067703438146248,Very High,11,Month-to-month,100.75,No,No,Electronic check,Priority outreach + long-term contract incentive
0897-FEGMU,0.8067703438146248,Very High,11,Month-to-month,99.5,No,No,Electronic check,Priority outreach + long-term contract incentive
5277-ZLOOR,0.806659220858187,Very High,2,Month-to-month,85.55,No,No,Electronic check,Priority outreach + long-term contract incentive
0390-DCFDQ,0.8062754303788997,Very High,1,Month-to-month,70.45,No,No,Mailed check,Priority outreach + long-term contract incentive
8309-IEYJD,0.8062754303788997,Very High,1,Month-to-month,70.6,No,No,Mailed check,Priority outreach + long-term contract incentive
0235-KGSLC,0.8054876797493123,Very High,1,Month-to-month,85.55,No,No,Credit card (automatic),Priority outreach + long-term contract incentive
2545-EBUPK,0.804800510785154,Very High,2,Month-to-month,84.05,No,No,Electronic check,Priority outreach + long-term contract incentive
2865-TCHJW,0.8029666907352468,Very High,4,Month-to-month,89.2,No,No,Electronic check,Priority outreach + long-term contract incentive
6996-KNSML,0.8027968823393411,Very High,1,Month-to-month,74.9,No,No,Electronic check,Priority outreach + long-term contract incentive
6502-MJQAE,0.8027968823393411,Very High,1,Month-to-month,69.6,No,No,Electronic check,Priority outreach + long-term contract incentive
5542-TBBWB,0.8027968823393411,Very High,1,Month-to-month,69.9,No,No,Electronic check,Priority outreach + long-term contract incentive
7465-ZZRVX,0.8027968823393411,Very High,1,Month-to-month,70.35,No,No,Electronic check,Priority outreach + long-term contract incentive
4702-IOQDC,0.8027968823393411,Very High,1,Month-to-month,70.1,No,No,Electronic check,Priority outreach + long-term contract incentive
4603-JANFB,0.8027968823393411,Very High,1,Month-to-month,69.85,No,No,Electronic check,Priority outreach + long-term contract incentive
1640-PLFMP,0.8027968823393411,Very High,1,Month-to-month,70.25,No,No,Electronic check,Priority outreach + long-term contract incentive
9728-FTTVZ,0.8027968823393411,Very High,1,Month-to-month,69.2,No,No,Electronic check,Priority outreach + long-term contract incentive
7254-IQWOZ,0.8027968823393411,Very High,1,Month-to-month,69.65,No,No,Electronic check,Priority outreach + long-term contract incentive
1031-IIDEO,0.8027968823393411,Very High,1,Month-to-month,70.85,No,No,Electronic check,Priority outreach + long-term contract incentive
9804-ICWBG,0.8027968823393411,Very High,1,Month-to-month,69.9,No,No,Electronic check,Priority outreach + long-term contract incentive
7665-TOALD,0.8027968823393411,Very High,1,Month-to-month,69.6,No,No,Electronic check,Priority outreach + long-term contract incentive
1447-GIQMR,0.8027968823393411,Very High,1,Month-to-month,69.15,No,No,Electronic check,Priority outreach + long-term contract incentive
0488-GSLFR,0.8027968823393411,Very High,1,Month-to-month,69.5,No,No,Electronic check,Priority outreach + long-term contract incentive
6457-GIRWB,0.8027968823393411,Very High,1,Month-to-month,69.35,No,No,Electronic check,Priority outreach + long-term contract incentive
4510-HIMLV,0.8027968823393411,Very High,1,Month-to-month,69.8,No,No,Electronic check,Priority outreach + long-term contract incentive
3428-XZMAZ,0.8027968823393411,Very High,1,Month-to-month,69.35,No,No,Electronic check,Priority outreach + long-term contract incentive
0328-GRPMV,0.8027968823393411,Very High,1,Month-to-month,70.1,No,No,Electronic check,Priority outreach + long-term contract incentive
7660-HDPJV,0.8027968823393411,Very High,1,Month-to-month,69.2,No,No,Electronic check,Priority outreach + long-term contract incentive
3494-JCHRQ,0.8027968823393411,Very High,1,Month-to-month,70.05,No,No,Electronic check,Priority outreach + long-term contract incentive
1820-TQVEV,0.8027968823393411,Very High,1,Month-to-month,69.55,No,No,Electronic check,Priority outreach + long-term contract incentive
5376-DEQCP,0.8027968823393411,Very High,1,Month-to-month,70.6,No,No,Electronic check,Priority outreach + long-term contract incentive
2446-PLQVO,0.8027968823393411,Very High,1,Month-to-month,70.3,No,No,Electronic check,Priority outreach + long-term contract incentive
3244-DCJWY,0.8027968823393411,Very High,1,Month-to-month,70.25,No,No,Electronic check,Priority outreach + long-term contract incentive
6653-CBBOM,0.8027968823393411,Very High,1,Month-to-month,70.3,No,No,Electronic check,Priority outreach + long-term contract incentive
5875-YPQFJ,0.8027968823393411,Very High,1,Month-to-month,69.9,No,No,Electronic check,Priority outreach + long-term contract incentive
4806-HIPDW,0.8027968823393411,Very High,1,Month-to-month,68.95,No,No,Electronic check,Priority outreach + long-term contract incentive
3716-BDVDB,0.8027968823393411,Very High,1,Month-to-month,69.1,No,No,Electronic check,Priority outreach + long-term contract incentive
6416-TVAIH,0.8022383712130158,Very High,1,Month-to-month,68.5,No,No,Electronic check,Priority outreach + long-term contract incentive
4550-EVXNY,0.8022383712130158,Very High,1,Month-to-month,69.65,No,No,Electronic check,Priority outreach + long-term contract incentive
1853-UDXBW,0.8022383712130158,Very High,1,Month-to-month,70.0,No,No,Electronic check,Priority outreach + long-term contract incentive
5134-IKDAY,0.8022383712130158,Very High,1,Month-to-month,69.8,No,No,Electronic check,Priority outreach + long-term contract incentive
3422-LYEPQ,0.8022383712130158,Very High,1,Month-to-month,71.0,No,No,Electronic check,Priority outreach + long-term contract incentive
8380-PEFPE,0.8022383712130158,Very High,1,Month-to-month,71.65,No,No,Electronic check,Priority outreach + long-term contract incentive
4132-KALRO,0.8014680369241155,Very High,4,Month-to-month,100.85,Yes,No,Mailed check,Priority outreach + long-term contract incentive
6350-XFYGW,0.8011017607718751,Very High,4,Month-to-month,94.75,No,No,Electronic check,Priority outreach + long-term contract incentive
3319-DWOEP,0.8011017607718751,Very High,6,Month-to-month,95.75,No,No,Electronic check,Priority outreach + long-term contract incentive
4750-ZRXIU,0.8010812358052034,Very High,4,Month-to-month,84.6,No,No,Electronic check,Priority outreach + long-term contract incentive
0196-VULGZ,0.8010812358052034,Very High,6,Month-to-month,84.35,No,No,Electronic check,Priority outreach + long-term contract incentive
4695-WJZUE,0.8005803020932163,Very High,2,Month-to-month,88.55,No,No,Electronic check,Priority outreach + long-term contract incentive
3276-HDUEG,0.7998401064051994,Very High,1,Month-to-month,75.05,No,No,Mailed check,Priority outreach + long-term contract incentive
3707-GNWHM,0.7998401064051994,Very High,1,Month-to-month,74.25,No,No,Mailed check,Priority outreach + long-term contract incentive
3746-EUBYR,0.7998401064051994,Very High,1,Month-to-month,74.6,No,No,Bank transfer (automatic),Priority outreach + long-term contract incentive
6630-UJZMY,0.7991830793403775,Very High,4,Month-to-month,83.25,No,No,Electronic check,Priority outreach + long-term contract incentive
1450-GALXR,0.7989606180529527,Very High,10,Month-to-month,98.5,Yes,No,Electronic check,Priority outreach + long-term contract incentive
1579-KLYDT,0.7982830857886946,Very High,7,Month-to-month,90.45,No,No,Electronic check,Priority outreach + long-term contract incentive
3489-HHPFY,0.7976862361263638,Very High,2,Month-to-month,84.05,No,No,Electronic check,Priority outreach + long-term contract incentive
0259-GBZSH,0.7976862361263638,Very High,2,Month-to-month,85.65,No,No,Electronic check,Priority outreach + long-term contract incentive
3776-EKTKM,0.7971131078357314,Very High,1,Month-to-month,36.45,No,No,Electronic check,Priority outreach + long-term contract incentive
7450-NWRTR,0.7969527702390908,Very High,12,Month-to-month,99.45,No,No,Electronic check,Priority outreach + long-term contract incentive
